# Simulation Parameters
# Box dimensions: 5 x 40 x 5
# Temperature: 0.8
# Total steps: 100000
# Log interval: 200
# Max displacement: 0.125
# Distortions (d1, d2): {'sx': 0.999995, 'sy': 1.00001, 'sz': 0.999995}, {'sx': 1.000005, 'sy': 0.99999, 'sz': 1.000005}
# Reset sampling at: [40, 10000, 20000]
# Console freq: 50
# Trajectory freq/file: 200/data/vle-0.80-reference_trajectory.xyz

# step   E_pot     acc     e1        avg1      gamma1    e2        avg2      gamma2
 18800  -928.763  0.549  9.999e-01  9.998e-01     0.709  1.000e+00  1.000e+00     0.709
 19000  -956.734  0.537  9.993e-01  9.998e-01     0.743  1.001e+00  1.000e+00     0.743
 19200  -984.448  0.531  9.997e-01  9.998e-01     0.751  1.000e+00  1.000e+00     0.751
 19400  -946.823  0.525  1.001e+00  9.998e-01     0.682  9.992e-01  1.000e+00     0.682
 19600  -925.283  0.488  9.987e-01  9.998e-01     0.754  1.001e+00  1.000e+00     0.754
 19800  -956.708  0.586  1.000e+00  9.998e-01     0.722  9.997e-01  1.000e+00     0.722
 20000  -904.274  0.457  1.000e+00  1.000e+00    -1.462  9.995e-01  9.995e-01    -1.463
 20200  -911.750  0.531  1.000e+00  1.000e+00    -1.008  9.998e-01  9.997e-01    -1.008
 20400  -901.497  0.611  1.001e+00  1.000e+00    -1.429  9.993e-01  9.996e-01    -1.430
 20600  -920.551  0.549  9.993e-01  1.000e+00    -0.481  1.001e+00  9.998e-01    -0.481
 20800  -952.985  0.568  9.996e-01  1.000e+00    -0.127  1.000e+00  1.000e+00    -0.127
 21000  -911.895  0.525  1.000e+00  1.000e+00    -0.249  9.997e-01  9.999e-01    -0.249
 21200  -927.064  0.525  9.992e-01  1.000e+00     0.155  1.001e+00  1.000e+00     0.155
 21400  -934.237  0.512  1.001e+00  1.000e+00    -0.133  9.993e-01  1.000e+00    -0.133
 21600  -954.159  0.556  9.997e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.005
 21800  -980.300  0.562  9.992e-01  9.999e-01     0.241  1.001e+00  1.000e+00     0.242
 22000  -945.327  0.593  1.000e+00  9.999e-01     0.231  1.000e+00  1.000e+00     0.232
 22200  -971.505  0.537  1.000e+00  9.999e-01     0.216  1.000e+00  1.000e+00     0.216
 22400  -1000.653  0.463  9.992e-01  9.999e-01     0.394  1.001e+00  1.000e+00     0.394
 22600  -934.735  0.481  9.999e-01  9.999e-01     0.393  1.000e+00  1.000e+00     0.393
 22800  -911.215  0.469  9.992e-01  9.998e-01     0.544  1.001e+00  1.000e+00     0.544
 23000  -899.308  0.531  1.000e+00  9.999e-01     0.462  9.998e-01  1.000e+00     0.462
 23200  -967.617  0.562  9.994e-01  9.998e-01     0.550  1.001e+00  1.000e+00     0.550
 23400  -953.212  0.599  1.000e+00  9.998e-01     0.524  1.000e+00  1.000e+00     0.524
 23600  -972.636  0.537  1.000e+00  9.999e-01     0.458  9.998e-01  1.000e+00     0.458
 23800  -927.923  0.469  9.996e-01  9.998e-01     0.493  1.000e+00  1.000e+00     0.493
 24000  -963.609  0.549  1.001e+00  9.999e-01     0.391  9.995e-01  1.000e+00     0.391
 24200  -996.858  0.469  9.996e-01  9.999e-01     0.438  1.000e+00  1.000e+00     0.438
 24400  -954.774  0.568  1.000e+00  9.999e-01     0.420  1.000e+00  1.000e+00     0.420
 24600  -954.318  0.519  1.000e+00  9.999e-01     0.392  9.999e-01  1.000e+00     0.392
 24800  -942.911  0.475  9.999e-01  9.999e-01     0.392  1.000e+00  1.000e+00     0.392
 25000  -971.192  0.506  1.000e+00  9.999e-01     0.344  9.997e-01  1.000e+00     0.344
 25200  -999.068  0.469  9.994e-01  9.999e-01     0.406  1.001e+00  1.000e+00     0.406
 25400  -964.570  0.562  1.001e+00  9.999e-01     0.270  9.989e-01  1.000e+00     0.270
 25600  -952.177  0.475  9.996e-01  9.999e-01     0.303  1.000e+00  1.000e+00     0.303
 25800  -964.413  0.481  1.001e+00  9.999e-01     0.179  9.989e-01  1.000e+00     0.179
 26000  -983.968  0.531  9.998e-01  9.999e-01     0.194  1.000e+00  1.000e+00     0.194
 26200  -942.302  0.519  1.000e+00  9.999e-01     0.181  9.999e-01  1.000e+00     0.181
 26400  -980.675  0.475  9.994e-01  9.999e-01     0.231  1.001e+00  1.000e+00     0.231
 26600  -1014.993  0.568  9.997e-01  9.999e-01     0.256  1.000e+00  1.000e+00     0.256
 26800  -1016.900  0.500  9.999e-01  9.999e-01     0.262  1.000e+00  1.000e+00     0.262
 27000  -982.625  0.481  9.991e-01  9.999e-01     0.339  1.001e+00  1.000e+00     0.339
 27200  -956.166  0.463  1.000e+00  9.999e-01     0.334  1.000e+00  1.000e+00     0.334
 27400  -964.771  0.512  1.000e+00  9.999e-01     0.294  9.996e-01  1.000e+00     0.294
 27600  -931.500  0.469  9.993e-01  9.999e-01     0.347  1.001e+00  1.000e+00     0.347
 27800  -963.871  0.543  9.998e-01  9.999e-01     0.357  1.000e+00  1.000e+00     0.357
 28000  -934.970  0.519  9.993e-01  9.999e-01     0.406  1.001e+00  1.000e+00     0.406
 28200  -963.249  0.531  9.996e-01  9.999e-01     0.428  1.000e+00  1.000e+00     0.428
 28400  -923.621  0.512  1.000e+00  9.999e-01     0.389  9.996e-01  1.000e+00     0.389
 28600  -901.765  0.562  1.000e+00  9.999e-01     0.383  1.000e+00  1.000e+00     0.383
 28800  -920.802  0.531  9.998e-01  9.999e-01     0.391  1.000e+00  1.000e+00     0.391
 29000  -901.284  0.525  9.996e-01  9.999e-01     0.409  1.000e+00  1.000e+00     0.409
 29200  -893.883  0.512  9.999e-01  9.999e-01     0.404  1.000e+00  1.000e+00     0.404
 29400  -896.338  0.537  9.998e-01  9.999e-01     0.407  1.000e+00  1.000e+00     0.407
 29600  -939.664  0.562  1.000e+00  9.999e-01     0.388  9.998e-01  1.000e+00     0.388
 29800  -901.899  0.549  9.998e-01  9.999e-01     0.392  1.000e+00  1.000e+00     0.392
 30000  -901.202  0.586  1.000e+00  9.999e-01     0.362  9.996e-01  1.000e+00     0.362
 30200  -875.604  0.519  1.001e+00  9.999e-01     0.311  9.993e-01  1.000e+00     0.311
 30400  -908.483  0.580  1.000e+00  9.999e-01     0.284  9.996e-01  1.000e+00     0.284
 30600  -888.283  0.512  1.001e+00  9.999e-01     0.247  9.995e-01  1.000e+00     0.247
 30800  -878.490  0.562  9.997e-01  9.999e-01     0.261  1.000e+00  1.000e+00     0.261
 31000  -871.843  0.512  1.000e+00  9.999e-01     0.241  9.997e-01  1.000e+00     0.241
 31200  -914.642  0.494  9.999e-01  9.999e-01     0.244  1.000e+00  1.000e+00     0.244
 31400  -911.859  0.463  9.999e-01  9.999e-01     0.247  1.000e+00  1.000e+00     0.247
 31600  -883.844  0.562  9.989e-01  9.999e-01     0.304  1.001e+00  1.000e+00     0.304
 31800  -894.914  0.543  9.999e-01  9.999e-01     0.306  1.000e+00  1.000e+00     0.306
 32000  -889.951  0.556  9.993e-01  9.999e-01     0.336  1.001e+00  1.000e+00     0.336
 32200  -884.079  0.512  9.994e-01  9.999e-01     0.359  1.001e+00  1.000e+00     0.359
 32400  -891.998  0.599  1.000e+00  9.999e-01     0.345  9.998e-01  1.000e+00     0.345
 32600  -908.131  0.586  1.001e+00  9.999e-01     0.291  9.990e-01  1.000e+00     0.291
 32800  -916.634  0.512  9.999e-01  9.999e-01     0.290  1.000e+00  1.000e+00     0.290
 33000  -920.858  0.506  9.993e-01  9.999e-01     0.319  1.001e+00  1.000e+00     0.319
 33200  -915.093  0.562  1.000e+00  9.999e-01     0.308  9.999e-01  1.000e+00     0.308
 33400  -871.425  0.549  9.999e-01  9.999e-01     0.306  1.000e+00  1.000e+00     0.306
 33600  -912.377  0.500  1.000e+00  9.999e-01     0.300  1.000e+00  1.000e+00     0.300
 33800  -915.809  0.543  1.000e+00  9.999e-01     0.285  9.998e-01  1.000e+00     0.285
 34000  -900.829  0.599  9.996e-01  9.999e-01     0.300  1.000e+00  1.000e+00     0.300
 34200  -854.598  0.500  9.992e-01  9.999e-01     0.330  1.001e+00  1.000e+00     0.330
 34400  -915.473  0.537  9.997e-01  9.999e-01     0.338  1.000e+00  1.000e+00     0.338
 34600  -890.268  0.642  9.997e-01  9.999e-01     0.346  1.000e+00  1.000e+00     0.346
 34800  -905.248  0.494  9.995e-01  9.999e-01     0.363  1.001e+00  1.000e+00     0.363
 35000  -907.648  0.512  9.997e-01  9.999e-01     0.370  1.000e+00  1.000e+00     0.369
 35200  -899.534  0.531  9.998e-01  9.999e-01     0.375  1.000e+00  1.000e+00     0.375
 35400  -901.855  0.519  9.997e-01  9.999e-01     0.383  1.000e+00  1.000e+00     0.383
 35600  -909.040  0.481  1.001e+00  9.999e-01     0.348  9.993e-01  1.000e+00     0.348
 35800  -911.076  0.488  9.997e-01  9.999e-01     0.355  1.000e+00  1.000e+00     0.355
 36000  -913.264  0.543  1.000e+00  9.999e-01     0.334  9.996e-01  1.000e+00     0.334
 36200  -934.380  0.537  9.990e-01  9.999e-01     0.368  1.001e+00  1.000e+00     0.368
 36400  -930.162  0.519  9.995e-01  9.999e-01     0.385  1.001e+00  1.000e+00     0.385
 36600  -946.133  0.543  9.996e-01  9.999e-01     0.394  1.000e+00  1.000e+00     0.394
 36800  -947.733  0.475  9.991e-01  9.999e-01     0.423  1.001e+00  1.000e+00     0.423
 37000  -954.001  0.444  1.000e+00  9.999e-01     0.412  9.998e-01  1.000e+00     0.412
 37200  -947.609  0.519  9.990e-01  9.999e-01     0.444  1.001e+00  1.000e+00     0.444
 37400  -922.138  0.525  9.992e-01  9.999e-01     0.469  1.001e+00  1.000e+00     0.469
 37600  -944.462  0.519  9.998e-01  9.999e-01     0.469  1.000e+00  1.000e+00     0.469
 37800  -928.400  0.623  1.000e+00  9.999e-01     0.461  9.999e-01  1.000e+00     0.461
 38000  -970.115  0.444  9.994e-01  9.999e-01     0.477  1.001e+00  1.000e+00     0.477
 38200  -948.898  0.556  1.000e+00  9.999e-01     0.467  9.998e-01  1.000e+00     0.466
 38400  -936.865  0.407  1.000e+00  9.999e-01     0.451  9.997e-01  1.000e+00     0.451
 38600  -907.922  0.549  1.000e+00  9.999e-01     0.446  1.000e+00  1.000e+00     0.446
 38800  -931.646  0.451  9.999e-01  9.999e-01     0.444  1.000e+00  1.000e+00     0.443
 39000  -901.481  0.556  9.998e-01  9.999e-01     0.445  1.000e+00  1.000e+00     0.445
 39200  -887.031  0.574  1.000e+00  9.999e-01     0.440  1.000e+00  1.000e+00     0.440
 39400  -900.926  0.525  1.001e+00  9.999e-01     0.412  9.993e-01  1.000e+00     0.412
 39600  -889.499  0.488  1.001e+00  9.999e-01     0.385  9.993e-01  1.000e+00     0.385
 39800  -935.661  0.531  9.996e-01  9.999e-01     0.394  1.000e+00  1.000e+00     0.394
 40000  -923.370  0.537  1.001e+00  9.999e-01     0.368  9.993e-01  1.000e+00     0.368
 40200  -905.923  0.481  1.000e+00  9.999e-01     0.363  1.000e+00  1.000e+00     0.363
 40400  -901.306  0.543  1.000e+00  9.999e-01     0.348  9.996e-01  1.000e+00     0.348
 40600  -909.045  0.512  1.000e+00  9.999e-01     0.345  1.000e+00  1.000e+00     0.345
 40800  -927.596  0.586  9.998e-01  9.999e-01     0.349  1.000e+00  1.000e+00     0.349
 41000  -918.679  0.537  1.000e+00  9.999e-01     0.335  9.996e-01  1.000e+00     0.335
 41200  -918.309  0.494  1.000e+00  9.999e-01     0.333  1.000e+00  1.000e+00     0.333
 41400  -906.911  0.605  1.000e+00  9.999e-01     0.324  9.998e-01  1.000e+00     0.324
 41600  -915.457  0.562  9.994e-01  9.999e-01     0.339  1.001e+00  1.000e+00     0.338
 41800  -972.703  0.525  1.000e+00  9.999e-01     0.330  9.998e-01  1.000e+00     0.330
 42000  -970.094  0.512  1.000e+00  9.999e-01     0.313  9.995e-01  1.000e+00     0.313
 42200  -979.270  0.586  1.000e+00  9.999e-01     0.297  9.995e-01  1.000e+00     0.297
 42400  -980.610  0.451  9.997e-01  9.999e-01     0.304  1.000e+00  1.000e+00     0.304
 42600  -922.595  0.586  1.000e+00  9.999e-01     0.291  9.996e-01  1.000e+00     0.291
 42800  -955.418  0.519  9.995e-01  9.999e-01     0.303  1.001e+00  1.000e+00     0.303
 43000  -941.240  0.500  9.994e-01  9.999e-01     0.316  1.001e+00  1.000e+00     0.316
 43200  -943.037  0.562  1.000e+00  9.999e-01     0.313  1.000e+00  1.000e+00     0.313
 43400  -906.396  0.512  9.997e-01  9.999e-01     0.319  1.000e+00  1.000e+00     0.319
 43600  -886.938  0.556  9.995e-01  9.999e-01     0.329  1.000e+00  1.000e+00     0.329
 43800  -872.546  0.556  1.001e+00  9.999e-01     0.310  9.994e-01  1.000e+00     0.310
 44000  -852.727  0.568  1.001e+00  9.999e-01     0.292  9.994e-01  1.000e+00     0.292
 44200  -867.124  0.562  9.992e-01  9.999e-01     0.311  1.001e+00  1.000e+00     0.311
 44400  -884.559  0.611  1.000e+00  9.999e-01     0.304  9.999e-01  1.000e+00     0.304
 44600  -870.567  0.574  9.999e-01  9.999e-01     0.304  1.000e+00  1.000e+00     0.303
 44800  -914.522  0.543  9.998e-01  9.999e-01     0.306  1.000e+00  1.000e+00     0.306
 45000  -885.969  0.568  9.996e-01  9.999e-01     0.313  1.000e+00  1.000e+00     0.313
 45200  -863.042  0.586  9.998e-01  9.999e-01     0.316  1.000e+00  1.000e+00     0.316
 45400  -872.033  0.562  1.000e+00  9.999e-01     0.310  9.998e-01  1.000e+00     0.309
 45600  -879.575  0.642  9.993e-01  9.999e-01     0.323  1.001e+00  1.000e+00     0.323
 45800  -888.904  0.593  1.000e+00  9.999e-01     0.321  1.000e+00  1.000e+00     0.321
 46000  -895.656  0.562  1.000e+00  9.999e-01     0.307  9.995e-01  1.000e+00     0.307
 46200  -888.289  0.537  9.999e-01  9.999e-01     0.307  1.000e+00  1.000e+00     0.307
 46400  -871.145  0.586  9.996e-01  9.999e-01     0.314  1.000e+00  1.000e+00     0.313
 46600  -881.485  0.494  1.000e+00  9.999e-01     0.307  9.998e-01  1.000e+00     0.307
 46800  -926.109  0.512  9.997e-01  9.999e-01     0.313  1.000e+00  1.000e+00     0.313
 47000  -895.315  0.611  9.995e-01  9.999e-01     0.322  1.000e+00  1.000e+00     0.322
 47200  -923.785  0.586  9.995e-01  9.999e-01     0.332  1.001e+00  1.000e+00     0.332
 47400  -933.782  0.525  9.992e-01  9.999e-01     0.348  1.001e+00  1.000e+00     0.348
 47600  -849.926  0.549  9.991e-01  9.999e-01     0.366  1.001e+00  1.000e+00     0.366
 47800  -913.304  0.623  9.999e-01  9.999e-01     0.365  1.000e+00  1.000e+00     0.364
 48000  -893.762  0.549  9.988e-01  9.999e-01     0.389  1.001e+00  1.000e+00     0.389
 48200  -902.030  0.500  9.992e-01  9.999e-01     0.404  1.001e+00  1.000e+00     0.404
 48400  -914.013  0.512  9.986e-01  9.999e-01     0.433  1.001e+00  1.000e+00     0.433
 48600  -897.021  0.568  9.988e-01  9.999e-01     0.457  1.001e+00  1.000e+00     0.457
 48800  -871.471  0.574  9.993e-01  9.999e-01     0.469  1.001e+00  1.000e+00     0.468
 49000  -863.717  0.593  1.000e+00  9.999e-01     0.465  1.000e+00  1.000e+00     0.465
 49200  -848.277  0.543  1.000e+00  9.999e-01     0.462  1.000e+00  1.000e+00     0.462
 49400  -818.299  0.623  1.000e+00  9.999e-01     0.460  1.000e+00  1.000e+00     0.460
 49600  -874.028  0.574  9.990e-01  9.999e-01     0.478  1.001e+00  1.000e+00     0.478
 49800  -850.542  0.574  9.997e-01  9.999e-01     0.480  1.000e+00  1.000e+00     0.480
 50000  -862.662  0.556  1.000e+00  9.999e-01     0.474  9.999e-01  1.000e+00     0.474
 50200  -864.078  0.500  9.985e-01  9.998e-01     0.502  1.001e+00  1.000e+00     0.502
 50400  -893.000  0.574  1.000e+00  9.998e-01     0.499  1.000e+00  1.000e+00     0.499
 50600  -835.645  0.580  1.000e+00  9.998e-01     0.496  1.000e+00  1.000e+00     0.496
 50800  -859.982  0.537  9.997e-01  9.998e-01     0.499  1.000e+00  1.000e+00     0.499
 51000  -837.234  0.630  1.002e+00  9.999e-01     0.462  9.983e-01  1.000e+00     0.462
 51200  -833.890  0.580  9.995e-01  9.999e-01     0.470  1.001e+00  1.000e+00     0.470
 51400  -853.232  0.519  9.997e-01  9.999e-01     0.473  1.000e+00  1.000e+00     0.473
 51600  -865.870  0.580  9.991e-01  9.998e-01     0.489  1.001e+00  1.000e+00     0.489
 51800  -865.099  0.580  1.000e+00  9.998e-01     0.486  1.000e+00  1.000e+00     0.486
 52000  -982.448  0.512  9.996e-01  9.998e-01     0.491  1.000e+00  1.000e+00     0.491
 52200  -918.654  0.562  1.000e+00  9.998e-01     0.488  1.000e+00  1.000e+00     0.488
 52400  -889.140  0.512  9.986e-01  9.998e-01     0.513  1.001e+00  1.000e+00     0.513
 52600  -944.562  0.537  1.000e+00  9.998e-01     0.505  9.998e-01  1.000e+00     0.505
 52800  -950.156  0.475  9.999e-01  9.998e-01     0.505  1.000e+00  1.000e+00     0.505
 53000  -947.383  0.494  9.998e-01  9.998e-01     0.505  1.000e+00  1.000e+00     0.505
 53200  -936.529  0.586  1.000e+00  9.998e-01     0.497  9.997e-01  1.000e+00     0.497
 53400  -903.375  0.500  1.000e+00  9.998e-01     0.486  9.996e-01  1.000e+00     0.486
 53600  -906.207  0.500  1.000e+00  9.998e-01     0.483  1.000e+00  1.000e+00     0.483
 53800  -891.785  0.543  9.999e-01  9.998e-01     0.483  1.000e+00  1.000e+00     0.483
 54000  -927.466  0.586  9.986e-01  9.998e-01     0.507  1.001e+00  1.000e+00     0.507
 54200  -936.192  0.543  9.993e-01  9.998e-01     0.517  1.001e+00  1.000e+00     0.517
 54400  -897.271  0.617  9.996e-01  9.998e-01     0.522  1.000e+00  1.000e+00     0.522
 54600  -937.041  0.611  9.997e-01  9.998e-01     0.525  1.000e+00  1.000e+00     0.525
 54800  -938.170  0.537  9.989e-01  9.998e-01     0.542  1.001e+00  1.000e+00     0.542
 55000  -921.447  0.574  1.000e+00  9.998e-01     0.537  9.999e-01  1.000e+00     0.537
