# Simulation Parameters
# Box dimensions: 3 x 12 x 3
# Temperature: 0.8
# Total steps: 10000
# Log interval: 100
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [10, 2000, 5000]
# Console freq: 50
# Trajectory freq/file: 100/data/vle-small_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
  7400  -125.913  0.933  1.741e-61  2.187e-34  -344468.410  1.742e-61  2.187e-34  344468.041
  7500  -100.008  0.867  5.512e-49  1.969e-31  -314235.031  5.514e-49  1.967e-31  314237.129
  7600  -123.366  0.800  2.949e-60  1.893e-31  -314409.277  2.950e-60  1.892e-31  314411.374
  7700  -124.675  0.400  6.891e-61  1.823e-31  -314576.949  6.892e-61  1.822e-31  314579.045
  7800  -109.834  0.733  9.992e-54  1.758e-31  -314738.525  9.994e-54  1.756e-31  314740.620
  7900  -146.296  0.600  2.539e-71  1.697e-31  -314894.432  2.541e-71  1.696e-31  314896.527
  8000  -154.378  1.000  3.199e-75  1.641e-31  -315045.055  3.200e-75  1.639e-31  315047.149
  8100  -122.476  0.867  7.934e-60  1.588e-31  -315190.740  7.934e-60  1.587e-31  315192.833
  8200  -173.501  0.867  1.892e-84  1.538e-31  -315331.801  1.893e-84  1.537e-31  315333.893
  8300  -181.888  0.800  1.699e-88  1.492e-31  -315468.522  1.699e-88  1.490e-31  315470.614
  8400  -221.885  0.667  8.500e-108  1.448e-31  -315601.163  8.505e-108  1.447e-31  315603.254
  8500  -257.629  0.800  4.802e-125  1.406e-31  -315729.959  4.800e-125  1.405e-31  315732.050
  8600  -275.566  0.400  1.061e-133  1.367e-31  -315855.128  1.061e-133  1.366e-31  315857.218
  8700  -235.116  0.600  3.507e-114  1.330e-31  -315976.868  3.508e-114  1.329e-31  315978.957
  8800  -286.072  0.533  9.039e-139  1.295e-31  -316095.362  9.035e-139  1.294e-31  316097.451
  8900  -241.510  0.667  2.881e-117  1.262e-31  -316210.779  2.881e-117  1.261e-31  316212.867
  9000  -239.899  0.733  1.724e-116  1.231e-31  -316323.275  1.726e-116  1.230e-31  316325.362
  9100  -241.373  0.667  3.355e-117  1.201e-31  -316432.993  3.355e-117  1.200e-31  316435.080
  9200  -200.136  0.733  2.657e-97  1.172e-31  -316540.068  2.656e-97  1.171e-31  316542.154
  9300  -217.381  0.533  1.267e-105  1.145e-31  -316644.623  1.268e-105  1.144e-31  316646.709
  9400  -272.408  0.667  3.544e-132  1.119e-31  -316746.776  3.546e-132  1.118e-31  316748.861
  9500  -263.697  0.933  5.668e-128  1.094e-31  -316846.633  5.667e-128  1.093e-31  316848.718
  9600  -222.893  0.733  2.775e-108  1.070e-31  -316944.296  2.776e-108  1.069e-31  316946.380
  9700  -243.150  0.667  4.657e-118  1.047e-31  -317039.858  4.659e-118  1.047e-31  317041.942
  9800  -219.424  0.867  1.310e-106  1.026e-31  -317133.410  1.310e-106  1.025e-31  317135.493
  9900  -260.459  0.600  2.069e-126  1.005e-31  -317225.032  2.069e-126  1.004e-31  317227.115
 10000  -254.928  0.800  9.655e-124  9.846e-32  -317314.804  9.652e-124  9.838e-32  317316.887

gamma(area increase) = -317314.804106
gamma(area decrease) = 317316.886683
